trial,scanTimestamp,repoName,imageTag,imageDigest,status,scanDurationMs,criticalCount,highCount,mediumCount,lowCount,totalVulns,reportFile
1,1762355901,nginx,latest,sha256:1beed3ca46acebe9d3fb62e9067f03d05d5bfa97a00f30938a0a3580563272ad,SUCCESS,5237,0,,,,,local_scan_results/reports/nginx/latest/trial_1_report.json
1,1762355902,mysql,latest,sha256:569c4128dfa625ac2ac62cdd8af588a3a6a60a049d1a8d8f0fac95880ecdbbe5,SUCCESS,867,,,,,,local_scan_results/reports/mysql/latest/trial_1_report.json
1,1762355904,python,3.7,sha256:eedf63967cdb57d8214db38ce21f105003ed4e4d0358f02bedc057341bcf92a0,SUCCESS,1524,80,,,,,local_scan_results/reports/python/3.7/trial_1_report.json
1,1762355905,node,18,sha256:c6ae79e38498325db67193d391e6ec1d224d96c693a8a4d943498556716d3783,SUCCESS,1197,54,,,,,local_scan_results/reports/node/18/trial_1_report.json
1,1762355906,redis,latest,sha256:5c7c0445ed86918cb9efb96d95a6bfc03ed2059fe2c5f02b4d74f477ffe47915,SUCCESS,753,1,,,,,local_scan_results/reports/redis/latest/trial_1_report.json
1,1762355907,alpine,latest,sha256:4b7ce07002c69e8f3d704a9c5d6fd3053be500b7f1c69fc0d80990c2ad8dd412,SUCCESS,775,,,,,,local_scan_results/reports/alpine/latest/trial_1_report.json
2,1762355908,nginx,latest,sha256:1beed3ca46acebe9d3fb62e9067f03d05d5bfa97a00f30938a0a3580563272ad,SUCCESS,731,0,,,,,local_scan_results/reports/nginx/latest/trial_2_report.json
2,1762355909,mysql,latest,sha256:569c4128dfa625ac2ac62cdd8af588a3a6a60a049d1a8d8f0fac95880ecdbbe5,SUCCESS,944,,,,,,local_scan_results/reports/mysql/latest/trial_2_report.json
2,1762355911,python,3.7,sha256:eedf63967cdb57d8214db38ce21f105003ed4e4d0358f02bedc057341bcf92a0,SUCCESS,1438,80,,,,,local_scan_results/reports/python/3.7/trial_2_report.json
2,1762355912,node,18,sha256:c6ae79e38498325db67193d391e6ec1d224d96c693a8a4d943498556716d3783,SUCCESS,1082,54,,,,,local_scan_results/reports/node/18/trial_2_report.json
